cell_id,lon,lat
cell_0_201,-118.96284541766097,34.60570293228182
cell_0_202,-118.96305762404484,34.6147156443656
cell_0_203,-118.96326992468171,34.62372834196893
cell_0_204,-118.96348231961247,34.63274102508964
cell_0_205,-118.96369480887812,34.64175369372554
cell_0_206,-118.96390739251954,34.65076634787443
cell_0_207,-118.96412007057788,34.65977898753413
cell_0_208,-118.96433284309406,34.66879161270243
cell_0_209,-118.96454571010916,34.677804223377166
cell_0_210,-118.96475867166433,34.68681681955614
cell_0_211,-118.96497172780063,34.69582940123719
cell_0_212,-118.96518487855926,34.7048419684181
cell_0_213,-118.96539812398136,34.71385452109672
cell_0_214,-118.96561146410816,34.72286705927083
cell_0_215,-118.9658248989809,34.7318795829383
cell_0_216,-118.96603842864083,34.7408920920969
cell_0_217,-118.9662520531292,34.74990458674447
cell_0_218,-118.9664657724874,34.758917066878844
cell_0_219,-118.96667958675675,34.76792953249784
cell_0_220,-118.96689349597861,34.77694198359926
cell_0_221,-118.96710750019442,34.78595442018094
cell_0_222,-118.96732159944555,34.79496684224073
cell_0_223,-118.96753579377355,34.80397924977643
cell_0_224,-118.96775008321983,34.81299164278588
cell_1_0,-118.91137698595536,32.79402032677655
cell_1_1,-118.91156996505173,32.80303595979278
cell_1_2,-118.91176303023802,32.812051578799654
cell_1_3,-118.91195618154967,32.821067183794796
cell_1_4,-118.91214941902221,32.83008277477582
cell_1_5,-118.91234274269115,32.83909835174034
cell_1_6,-118.91253615259214,32.84811391468598
cell_1_7,-118.91272964876067,32.857129463610384
cell_1_8,-118.91292323123243,32.86614499851115
cell_1_9,-118.91311690004304,32.87516051938594
cell_1_10,-118.91331065522817,32.88417602623237
cell_1_11,-118.91350449682344,32.893191519048045
cell_1_12,-118.91369842486459,32.9022069978306
cell_1_13,-118.91389243938738,32.91122246257768
cell_1_14,-118.91408654042759,32.92023791328693
cell_1_15,-118.91428072802096,32.92925334995595
cell_1_16,-118.9144750022033,32.9382687725824
cell_1_17,-118.91466936301046,32.94728418116389
cell_1_18,-118.91486381047831,32.95629957569807
cell_1_19,-118.91505834464266,32.96531495618259
cell_1_20,-118.91525296553944,32.974330322615046
cell_1_21,-118.91544767320464,32.983345674993124
cell_1_22,-118.91564246767413,32.992361013314444
cell_1_23,-118.91583734898397,33.001376337576616
cell_1_24,-118.9160323171701,33.010391647777325
cell_1_25,-118.91622737226852,33.0194069439142
cell_1_26,-118.91642251431539,33.02842222598488
cell_1_27,-118.91661774334666,33.03743749398701
cell_1_28,-118.91681305939848,33.04645274791824
cell_1_29,-118.91700846250701,33.05546798777621
cell_1_30,-118.91720395270832,33.06448321355855
cell_1_31,-118.91739953003865,33.07349842526297
cell_1_32,-118.91759519453413,33.08251362288704
cell_1_33,-118.91779094623105,33.09152880642846
cell_1_34,-118.91798678516561,33.10054397588487
cell_1_35,-118.9181827113741,33.10955913125392
cell_1_36,-118.9183787248928,33.11857427253326
cell_1_37,-118.91857482575806,33.12758939972055
cell_1_38,-118.9187710140062,33.136604512813435
cell_1_39,-118.91896728967349,33.14561961180958
cell_1_40,-118.9191636527965,33.15463469670664
cell_1_41,-118.91936010341158,33.16364976750227
cell_1_42,-118.91955664155513,33.17266482419414
cell_1_43,-118.91975326726362,33.1816798667799
cell_1_44,-118.91994998057359,33.19069489525721
cell_1_45,-118.92014678152157,33.199709909623735
cell_1_46,-118.92034367014399,33.208724909877134
cell_1_47,-118.92054064647749,33.21773989601508
cell_1_48,-118.92073771055868,33.22675486803523
cell_1_49,-118.92093486242413,33.23576982593524
cell_1_50,-118.9211321021105,33.2447847697128
cell_1_51,-118.92132942965448,33.253799699365565
cell_1_52,-118.9215268450927,33.26281461489121
cell_1_53,-118.92172434846196,33.27182951628739
cell_1_54,-118.92192193979889,33.28084440355179
cell_1_55,-118.92211961914032,33.28985927668208
